title,label
"Since 1980, over 145 incidents have been documented of suction entrapment in swimming pools and spas, including 36 deaths of children.",1
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,1
A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.,1
"» Mila Kunis Blasts Perez Hilton For Internet ‘Trolling,’ Celebrity Reporting ‘Crumbling’Gossip Site",0
This Is Real Life! Beyoncé and Jay-Z Reveal How They Did The Work and Saved Their Marriage On New Album,0
Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.,1
"'The Crown' star Vanessa Kirby addresses rumors she's dating Tom Cruise, discusses how Meghan Markle is changing the royal family,",0
The Buffett Rule will bring in less than $5 billion per year. ... Enough to pay one weeks interest on the national debt.,1
"There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s.",1
Says first eight chosen to draw Austin City Council districts are seven Democratic primary voters and one Republican primary voter.,1
Jennifer Hudson Warned Miley Cyrus Never to Mention Ex's Name on 'The Voice' Set Weeks Before Split (EXCLUSIVE),0
Says one in four women and one in seven men have been victims of domestic violence in their lifetime.,1
Washington cannot hide from the fact that Congress hiked the national debt ceiling to $14.3 trillion. They cannot hide from the fact . . . that the budget that theyre going forward with has more than a $5 trillion in debt in it over the next five years.,1
Things Are Messy Behind the Scenes of 'Live With Kelly and Ryan' — Will Ryan Seacrest Leave Kelly Ripa in the Dust?,0
"Brad Pitt, Jennifer Aniston Rekindle Romance Despite Justin Theroux: ‘In Love’ Duo Caught Kissing [Rumors]",0
The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.,1
President Obama campaigned on a promise to put reproductive health care at the center of his reform plan.,1
"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",1
Meghan Markle Finds Prince Harry Can’t Stop ‘Jealous’ Kate Middleton & Princesses Royal Feud [Rumor],0
"Nevada has been recently ranked No. 1 in unemployment, foreclosures, violent crime, personal bankruptcy and divorce.",1
"In 2007, the top 1 percent of all income earners in the United States made 23.5 percent of all income, which is more than the entire bottom 50 percent.",1
Is Selena Going to Become Mrs. Bieber? Justin Bieber and Selena Gomez could be Getting Married in Barbados!,0
Julianne Hough & Brooks Laich's Wedding Weekend in Photos: Every Detail You Have to See from Their Special Days,0
"Caitlyn Jenner: her confrontation with the Kardashians about pay per view TV special, her lonely Mother’s day, and her new date: Know all that here! – Married Biography",0
  Taylor Swift NOT Spending Millions Of Dollars Millions Of Dollars On Boyfriend Joe Alwyn  Despite Report,0
"Buono voted 154 times to raise our taxes -- like the sales tax, the income tax, health care taxes, even small business taxes.",1
"Fans Blast Kylie Jenner and Travis Scott for ""Looking Bored"" During Jennifer Lopez's Epic VMAs Performance",0
Says MAX carries 30 percent of evening rush-hour commuters traveling from Downtown on the Sunset and Banfield freeways.,1
Caitlyn Jenner Pushing Kanye West For Presidency Campaign Amid Kardashian Backlash Over Trump Support,0
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",1
"Kylie Jenner Loves Ferrari ‘Push Present’ From Travis Scott, But Refuses To Drive It To Keep Stormi Safe",0
Mariah Carey Reportedly Proposed To BF Bryan Tanaka With Super Romantic Song: Wedding Plans Revealed,0
"Replacing 100,000 old toilets with water-efficient models has saved 2.4 million gallons of water every day.",1
African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.,1
"Ben Affleck and Lindsay Shookus: friendship, flirtation or more began when he was still married to Jennifer Garner",0
"Emma Gonzalez Bullied School Shooter, Isn’t Sorry; Then Retweets Message Blaming “White Boys’ Entitlement” As Cause Of All School Shootings",0
MTO EXCLUSIVE: Meet Rosie O'Donnell's Niece . .. She's BLOWING UP On Instagram . . . Cause She's BUILT LIKE BLAC CHYNA!! (Only She's NATURAL),0
The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.,1
"Daniel Day-Lewis retires from acting: Why fans shouldn't consider it a great tragedy- Entertainment News, Firstpost",0
Ellen DeGeneres and Portia de Rossi Exchange Loving Anniversary Tributes in Celebration of Nine Years of Marriage,0
"Despite what Donald Trump claims, there werent 15,000 people who turned out in Phoenix to see Trump speak.",1
Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.,1
Says she is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.,1
"Says as Co-Chair of the Joint Ways Means Committee, I secured the key piece of funding for the Portland-Milwaukie Light Rail project bridge.",1
"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'""",1
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",1
Cravaack Passes Amendment to Improve US Aviation Security in Opposition to Obamas Planned Disarming of Federal Flight Deck Officers,1
"Are Caitlyn Jenner, 68, & Sophia Hutchins, 21, Getting Married? — Reportedly Making Secret Wedding Plans",0
Reports suggest Miley Cyrus and Liam Hemsworth have called off their wedding again — and it's apparently because of a disagreement over having kids,0
Says Rep. John Katko promised he wouldnt vote to defund Planned Parenthood and since hes been in office hes done that four times,1
Beyoncé's Rep Shuts Down Claim the Mom-to-Be Had Lip Injections While Pregnant: 'You Are the Saddest Individuals',0
"Says the Pentagon has never passed a financial audit. In fact, the Pentagon is exempt from a federal law that requires all federal agencies to complete annual audits.",1
Michael Thurmond authored major legislation that has provided more than $250 million in tax relief to Georgias senior citizens and working families.,1
Seventy-five percent of the young adults in this country are not mentally or physically fit to serve.,1
What happens is people like Warren Buffett and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.,1
"With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.",1
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,1
"Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.",1
"In 2008, 33.2 percent of those who voted early on the last Sunday before Election Day were African-American, while 23.6 percent were Hispanic.",1
Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.,1
Says our unemployment insurance trust fund is broke. Were over a billion dollars in debt to the federal government.,1
Selena Gomez’s “Complicated” Relationship With Her Mom Reportedly Goes Beyond the Justin Bieber Drama,0
Taylor Swift Has Supposedly Set Up Five-Star Restaurants In Her Homes For Romantic Dinners With BF Joe Alwyn!,0
"A glimpse at the relationship of Meghan Markle, Kate Middleton, Prince Harry and Prince William before the British royal wedding",0
Gwen Stefani Is Still Smitten With Blake Shelton and 'Has Never Once' Tried to Change Him (Exclusive),0
"The Weeknd Reportedly Wants to Have a Baby Girl With Selena Gomez and TBH, That Child Would Be Gorgeous",0
Khloe Kardashian Forced By Tristan To Follow ‘Strict’ Pregnancy Diet After Cookies & Ice Cream Binge?,0
"We spend more on health care than any other country, but we're ranked 47th in life expectancy and 43rd in child mortality.",1
"Russian source behind Trump dossier killed in Russian plane crash, Rosatom CFO also dead. : conspiracy",0
"Some criminals have learned how to spy on Americans, hacking into our home computers and looking out through the video camera attached to the screen.",1
"Fast Facts: Blake Shelton & Gwen Stefani Are Having Their First Baby, A Source Claims; PLUS The Hottest Celeb News",0
"Says she has bipartisan support, including 53 sheriffs throughout the state, Democrats and Republicans.",1
It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.,1
"Before April 22, we have restored the rights of more than 18,000 individuals, which is more than the past seven governors combined in their four-year terms.",1
"The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities ""at the last minute in midnight phone calls.""",1
"When President Barack Obama said ISIS, or ISIL, was contained, he was responding very specifically to the geographic expansion of ISIL in Iraq and Syria.",1
"In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington.",1
"Tommy Thompson is the father of welfare reform, creating the groundbreaking Wisconsin Works program in Wisconsin that became the model for national and international reforms.",1
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",1
Gwen Stefani Is Still Smitten With Blake Shelton and 'Has Never Once' Tried to Change Him (Exclusive),0
Wisconsin is one of several states where you can change your early ballot if you think youve made a mistake.,1
Kim Kardashian Tells Sister Kourtney That Nobody Wants Her Around & That She’s Not Exciting To Look At,0
Says that Wall Street hedge fund managers pay a lower tax rate than does a sheet metal worker in Parma or a school teacher in Cleveland.,1
Did Princess Charlotte recite her great ancestor’s quote unknowingly? Is she advanced for her age?-Know the truths here! – Married Biography,0
Wayne Powell has a stated position of having no objection to taking `In God We Trust off of U.S. currency.,1
Chelsea Handler Parties With Jennifer Garner After Getting Dumped By Jennifer Aniston – Ben Affleck Worried?,0
"If someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person.",1
"Princess Diana’s Grave Empty: Secretly Buried At St. Mary’s Church Beside Father, Althorp Park Location A Cover Up?",0
"If you count United States airstrikes against ISIS, 75 percent of those combat missions return to base without having fired a weapon.",1
"Following the 2009 session, Texas House Speaker Joe Straus was acknowledged and thanked for his tireless efforts by Planned Parenthood, the nations premier abortion provider.",1
Dakota Johnson And Chris Martin Run Errands In Malibu After Rumors Surface Coldplay Are Not A Fans Of The ‘Fifty Shades’ Star,0
"George Allen voted to add $3 trillion to the federal debt, voted to raise the debt ceiling four times and voted for the No Child Left Behind Act while he was a senator.",1
"Fulton County has successfully reduced the number of pregnancies"" among 15- to 19-year-olds.	women	fulton-county-government			none	0	0	0	0	0	a press releaase
2873.json	half-true	Says the Texas House has a record number of new members joining our ranks.	elections,states	joe-straus	Texas House speaker	Texas	republican	0	0	2	1	0	an e-mail
4230.json	false	Says Democrats cut $35 million from the state budget for Information Technology improvements.	state-budget	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	a news conference
3554.json	false	Austins Pease Elementary is a school that was created as part of the Texas Constitution.	education	meria-carstarphen	Superintendent, Austin Independent School District	Texas	none	0	1	0	0	0	a radio interview.
314.json	false	""I was pretty proud of being the only guy on the stage that ever had a job in the private sector.",1
Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,1
"The Associated Press called Charlie Crist's attacks ""over the top,"" ""out of context,"" and ""not true.""",1
"Jennifer Aniston, Brad Pitt 2018: No Rom-Com Reunion, No Engagement for Justin Theroux's and Angelina Jolie's Former Spouses",0
"The oddest thing is he doesn't want to do for America what he did for Massachusetts. He did mandate health care for Massachusetts, which is HillaryCare, and he doesn't want to do that for America.",1
or Degrading Treatment of Punishment Text of International Covenant on Civil and Political Rights Text of Geneva Convention relative to the Treatment of Prisoners of War Text of Geneva Convention relative to the Protection of Civilian Persons in Time of War Text of Universal Declaration of Human Rights Jay Bybee assistant attorney general,1
Mom of 3 Who Suffered Same Morning Sickness as Princess Kate Shares Her Survival Tips: ‘It’s Miserable’,0
Katy Perry’s Been ‘Waiting’ For Robert Pattinson To Let Her Out Of The ‘Friend Zone’ So They Can Date,0
"Under President Barack Obamas jobs bill, you can sue if you are unemployed and dont get the job and think you werent hired because you are unemployed.",1
The Rhode Island Parole Board never received an objection from the attorney general to the parole of convicted murder Alfred Brissette.,1
"Fifteen years ago, the assets of the six largest banks in this country totaled 17 percent of GDP ... The assets of the six largest banks in the United States today total 63 percent of GDP.",1
"If you rent a U-Haul to move your company, it costs twice as much to go from San Francisco to Austin than the other way around, because you cant find enough trucks to flee the Golden State.",1
"Singer Dolly Parton: “Trump In One Year Is Already Better Than 16 Years’ of Bush, Obama ‘Put Together’, This Stupid Liberals Doing Everything To Impeach Him But We Standing With Trump now And Forever.",0
"5 Awkward Details About Blake Shelton And Gwen Stefani's Relationship, Including What She's Said About Marrying Him",0
Says Russ Feingold broke his 1992 promise to always get the majority of funding from Wisconsin residents.,1
Last year we spent more than $40 billion on highways. And Lord knows we need that. But thats more than we spent on Amtrak in its entire 40-year history.,1
The president of the United States came in the Tuesday before the election in a ward that went 99% for him in the last election and they couldnt even (increase) the vote there.,1
Hitler didnt want unions. Stalin didnt want unions. Mubarak didnt want independent unions. These autocrats in history dont want independent unions.,1
People have actually broken down the transcripts for oral arguments and (Antonin Scalia) told more jokes and got more laughs than any of the other justices.,1
More people are apprehended after illegally crossing the U.S.-Mexico border a week than are born in Texas each week.,1
Obama voted to support President Bush between 40 and 50 percent of the time over the past two years.,1
"In 2008, tourism brought in $38 billion dollars and supported more than 300,000 jobs in the state of New Jersey.",1
"Rhode Islands voter identification law was pushed by a black Democrat in the House, a black Democrat in the Senate. Thats a fact.",1
Says Dan Patrick has called immigration into Texas an invasion and said immigrants coming into Texas bring third-world diseases.,1
"No, Katie Holmes Did Not Spend $20,000 To Fix Teeth, Star Confirms Signed On For ‘Ocean’s Eight’ Cast",0
"We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.",1
Ben Affleck Divorce Reportedly Pushed Jennifer Garner To Join The Church Of Scientology – Her Team Denies It,0
"Let's pay attention to kids who are not going to college, which ends up being about 60 percent of the kids... and get them trained for the jobs that are there. Because, you know, there are auto mechanic jobs paying $50,000, $60,000 that they can't get filled. There are airline mechanic jobs paying a lot of money that can't get filled."" Remarks at AFSCME forum 6/19/2007	economy	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	
8193.json	false	I am every year the No.1 pick of all of the law enforcement agencies within Texas.	candidates-biography,crime,criminal-justice	david-dewhurst	Lieutenant governor	Texas	republican	8	8	10	5	5	a telephone call to the Allen, Texas, police department.
9929.json	half-true	The U.S. State Department has ordered 160,000 Hazmat suits for Ebola, prompting concerns that the federal government is anticipating the rapid spread of the virus.	ebola,foreign-policy,public-health,science	blog-posting			none	7	19	3	5	44	a post on InfoWars.com
4403.json	half-true	Republicans fought to protect tax loopholes for corporations that send our jobs overseas.	corporations,jobs,taxes,trade,workers	service-employees-international-union-committee-po		Washington, D.C.	newsmaker	1	1	2	0	0	a political mailing
10062.json	false	We were told there would never be a case of Ebola in the United States.	ebola,health-care,military,public-health,public-safety	john-mccain	U.S. senator	Arizona	republican	31	39	31	37	8	comments on CNN's ""State of the Union",1
"The Florida Legislature raised taxes and fees by almost $2 billion"" in the 2009 session.	economy,taxes	charlie-justice			democrat	0	0	1	0	1	a news release
7129.json	true	We have more people working in clean and green energy than in oil and gas in this country.	economy,energy,environment,jobs,labor,technology	sheldon-whitehouse	U.S. Senator	Rhode Island	democrat	2	3	2	7	0	a newspaper column
5907.json	mostly-true	Florida has 1,200 golf courses. I think 58 million rounds played a year in Florida. Weve got 44 percent of all travel golf in the country here. 5 million people come here just for golf.	sports	rick-scott	Governor	Florida	republican	28	23	38	34	7	TV interview
13060.json	pants-fire	Says Hillary Clinton had an undercover nurse with her at the Sept. 11 memorial ceremony in New York.	candidates-biography	blog-posting			none	7	19	3	5	44	posts
12443.json	mostly-true	Only 50 percent of students from Milwaukee public high schools go on to a two-or four-year college.	education	vicki-martin	President of Milwaukee Area Technical College	Wisconsin	education-official	0	0	0	1	0	a presentation at a panel discussion
10745.json	true	The fastest-growing part of the Pentagons budget are health care expenses.	health-care,military	evan-bayh	former governor and senator	Indiana	democrat	0	0	0	0	0	an interview in Concord, N.H.
10667.json	mostly-true	Inflation-adjusted defense spending has declined 21 percent since 2010, and even if we discount the drawdowns in Iraq and Afghanistan, it has still declined by a dangerous 12 percent.	federal-budget,military	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	a Senate floor speech
5995.json	mostly-true	According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.	crime,guns	jim-moran	U. S. Congressman	Virginia	democrat	2	1	1	6	1	a floor speech.
3152.json	mostly-true	The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.	crime,health-care	ron-saunders	state legislator	Florida	democrat	0	0	0	1	0	a meeting with reporters
6210.json	true	Fireworks have never been safer, and their use continues to increase each year.	economy,financial-regulation,patriotism,market-regulation	bill-weimer	vice president of Phantom Fireworks	Ohio	none	0	0	0	0	0	a newspaper column
13410.json	mostly-true	Says Donald Trump and Ron Johnson oppose a womans right to choose and Johnson voted against the Violence Against Women Act.	abortion,crime,criminal-justice,women	russ-feingold		Wisconsin	democrat	2	4	7	5	1	a radio ad
5958.json	half-true	Says over 40 percent of recent county bonds are for Precinct One, northeast Travis County, because he is quick to identify projects that help make the East Side a desirable place to live.	county-budget,transportation	ron-davis	Travis County commissioner	Texas	democrat	0	0	1	0	0	a campaign flier
3590.json	false	Medicare passed with virtually no Republican support.	health-care,history,medicare	peter-defazio	U.S. representative	Oregon	democrat	1	1	1	2	0	a House floor speech
3866.json	false	Says Wisconsin state Senate President Michael Elllis (R-Neenah) broke Senate rules during debate on a photo ID bill for voters.	elections,states	fred-risser	State Senator, District 26	Wisconsin	democrat	0	1	0	0	0	a debate on the Senate floor.
1379.json	pants-fire	Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.	health-care	rick-perry	Governor	Texas	republican	30	30	42	23	18	in a press release
8736.json	barely-true	Its warmer on Mars than it is in parts of the United States and Canada during the polar vortex.	space,weather	tweets			none	2	3	1	2	3	posts on Twitter
5817.json	barely-true	Says the Department of Homeland Security has ordered enough rounds of .40 caliber ammunition to kill every man, woman and child in the United States, possibly to combat massive civil unrest or an invasion by a foreign power.	homeland-security,military	chain-email			none	11	43	8	5	105	a chain email forwarded by a reader.
4625.json	pants-fire	If a President Romney got a call from the president of the (Mormon church), he has no choice but to obey. It is obedience over family and country.	religion	fred-karger	Republican presidential candidate	California	republican	0	0	0	0	1	an interview with The Guardian
4060.json	barely-true	Under Gov. Rick Perrys leadership [Texas] has created more jobs over the last decade than the rest of the states combined.	economy,jobs	bob-mcdonnell	Governor	Virginia	republican	6	5	7	6	3	an op-ed.
2499.json	half-true	Says Scott Bruun supports cutting the Department of Commerce and eliminating NOAA.	economy	kurt-schrader	U.S. representative	Oregon	democrat	0	1	3	0	0	a radio interview
7821.json	barely-true	Says only 25 percent of Texas high school students graduate prepared for college or careers.	education	bill-hammond	CEO, president, Texas Association of Business & Chambers of Commerce	Texas	republican	1	0	0	1	0	an Austin American-Statesman news story
1932.json	pants-fire	Blue Cross new $90-million Providence headquarters ""was outfitted with $25 million in decor.",1
Khloé Kardashian 'wants to marry Tristan Thompson' amid reports she is spending 'quality time in Cleveland',0
"11 Years Ago Today, Kanye West Was In The Car Accident That Changed His Life…Here’s The Entire Story",0
"Says with Jon Corzine, its the first time, I think, in history where a former Senator has been subpoenaed to testify before his former colleagues.",1
"Because of a local version of Amendment 4, the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills.",1
How Kate Middleton’s First Appearance With Royal Baby No. 3 Compares to George and Charlotte’s Debuts,0
"60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs weve gotten back, only 40 percent are living-wage.",1
"There's Even More Evidence That Caitlyn Jenner Is Dating a 21-Year-Old Model and We're Like, Get It, Girl!",0
"Before I was governor, tuition was skyrocketing and we stopped that. We capped and then we froze college tuition.",1
"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",0
"When Social Security was passed, there were all kinds of lawsuits, just as there have been in the legal battle over the new health care law.",1
"In 2011, the average annual compensation for a teacher in the Milwaukee Public Schools system will exceed $100,000.",1
"The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.",1
Austin is the largest city in the U.S. or Texas with no geographic representation on its city council.,1
"Trump's alleged 'knew what he signed up for' comment to widow is worth caution, but fits a clear pattern",0
Obama Skips Out On Condemning Left-Wing Attacks On Gen. Petraeus Despite Casting Other 'Important Votes' Earlier And Later In The Day.,1
Katie Holmes ‘splits’ with Jamie Foxx and ‘calls off wedding’ months after revealing secret five-year romance,0
"Letter to the Honorable John Boehner providing an estimate for H.R. 6079, the Repeal of Obamacare Act",1
Washing your hands and covering your mouth when you cough makes a huge difference in reducing transmission of the flu.,1
Family's private investigator: There is evidence Seth Rich had contact with WikiLeaks prior to death,0
"Says of Donald Trump, He even said, on his very first day in office, he would require every school in America to let people carry guns into our classrooms.",1
Tens of billions of dollars (from taxpayer-funded bailouts) ... flowed straight through AIG into the coffers of foreign corporations and foreign banks.,1
"As a candidate, President Obama declared that everyone deserves access to reproductive health care that includes abortion, and vowed that this 'right' would be at the heart of his health care reform plan if elected president.",1
"Scott Disick Writing Kardashian Tell-All To Expose Kim’s Strained Marriage To Kanye West, Kourtney Secrets",0
"'Completely made up': Brad Pitt isn't dating the 21-year-old who played a teen version of Angelina Jolie in a movie, says source",0
Says he is the only candidate in the race for Clackamas County Chair who will refuse to join the Public Employees Retirement System.,1
Kourtney Kardashian Opens Up About Restricting Her Kids' Screen Time: 'The Kids Don't Really Play With iPads a,0
Taylor Swift Wants To Reconcile Her Romance With Ex-Boyfriend Conor Kennedy After Rumored Drake Romance?,0
Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.,1
The budget for the Consumer Financial Protection Bureau is only about 1 percent of the amount banks generate just from late fees and overdraft fees.,1
"Jennifer Aniston, Justin Theroux Latest Rumors: ‘Friends’ Alum to Pay ‘The Leftovers’ Actor Millions for His Silence?",0
Trump Management was charged with discriminating against African-Americans and breaking federal law.,1
"During a town hall meeting on health care, ""ABC didn't even allow ads that opposed the president's health care plan to be aired.""",1
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,1
"Since that famous day in February where the governor campaigned with Barack Obama on behalf of the stimulus program, 211,000 Floridians have lost their jobs.",1
I've spent 20 years devoted to working on behalf of families who are having a tough time and are seeking out the American dream.,1
"Meghan Markle Prince Harry Wedding: Meghan Markle a 'nervous wreck' before royal wedding, rumours claim",0
The unemployment rate for folks whove never gone to college is almost double what it is for those who have.,1
"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.",1
The estimated savings of this (debt ceiling) deal only pay for half of the cost of extending all of the Bush-era tax cuts for another decade.,1
"Voting in the wrong precinct led to over 14,000 registered voters statewide to lose their vote in 2008.",1
Says a Lubbock terror suspects alleged plan to use baby dolls to conceal chemical explosives is similar to a 1995 plot to blow up 12 jumbo jets over the Pacific Ocean.,1
Kim Kardashian Slams 'Liar' Caitlyn Jenner for Comments About Late Father Robert: 'She Is Not a Good Person',0
"Dating affair between Kristen Stewart and Stella are still happening, despite a Rumors of them about the split – Married Biography",0
A majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions.,1
Says Iowa Senate candidate Joni Ernst promises to shut down the Department of Education and abolish the EPA.,1
The Austin Independent School Districts graduation rate reached an all-time high of 82.5 percent in 2012.,1
"Under Donald Trumps tax plan, the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average -- would get more tax relief than the bottom 60 percent of taxpayers combined.",1
"In the last 6 years, there have been 420 elections for State Senator and State Representative. Only three incumbents have been defeated!",1
"State law says that once the state appraises a piece of property, they can only pay it a certain amount above appraisal.",1
Many of the top officials at the Port Authority earn more money than the governors of the states that have jurisdiction over them.,1
New Intimate Details of Tristan Thompson's Affair Prove It's Worse Than Khloé Kardashian Knows (EXCLUSIVE),0
"Pippa Middleton Denies Meghan Markle Wedding Invite, Fears Prince Harry’s Girlfriend Will Steal Spotlight?",0
"Since 2008, U.S. crude oil output has increased by over 80 percent, an increase of over 4 million barrels a day. That is the fastest increase in U.S. history.",1
Many dont know that Bill Young was once the minority leader in the Florida Senate...because he was the only Republican senator.,1
The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.,1
"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",0
Kim Kardashian ‘Worried Sick’ Kanye West’s Feud With JAY-Z Will Cause Relapse https://tmbw.news/kim-kardashian-worried-sick-kanye-wests-fe…,0
"According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.",1
The federal government is spending 25 percent of our entire economy versus 100 years ago we spent only 2 percent.,1
Taylor Swift & Joe Alwyn: Why He Didn’t Join Her At Billboard Awards & They Are Both ‘Happier’ For It,0
Gwen Stefani Is Still Smitten With Blake Shelton and 'Has Never Once' Tried to Change Him (Exclusive),0
Says Warren Buffett has publicly said his secretary should not be paying a higher tax rate than him.,1
